CustomerID,Recency,Frequency,Monetary,Tenure
12346.0,326,2,5342.4,326
12347.0,2,7,431501.0,367
12348.0,75,4,82378.47,358
12349.0,19,1,176075.12,19
12350.0,310,1,48173.37,310
12352.0,36,11,241567.46,297
12353.0,204,1,4357.89,204
12354.0,232,1,161522.49,232
12355.0,214,1,37648.28,214
12356.0,23,3,161617.98,326
12357.0,33,1,366359.4,33
12358.0,2,2,39673.670000000006,151
12359.0,8,6,672864.29,332
12360.0,52,3,306242.38,201
12361.0,287,1,30437.8,287
12362.0,3,13,688511.11,296
12363.0,110,2,53756.56,242
12364.0,8,4,215049.54,112
12365.0,291,3,59638.3,291
12367.0,4,1,25839.440000000002,4
12370.0,51,4,417753.03,360
12371.0,45,2,167307.32,60
12372.0,72,3,115169.81,297
12373.0,311,1,28312.37,311
12374.0,25,1,66577.75,25
12375.0,3,3,36360.4,98
12377.0,315,2,164885.7,355
12378.0,130,1,604145.45,130
12379.0,82,3,105708.76,170
12380.0,22,5,283392.46,186
12381.0,5,6,206368.76,120
12383.0,185,6,222610.77,352
12384.0,29,3,66557.46,122
12386.0,338,2,28316.56,367
12388.0,16,6,252667.99,327
12390.0,80,1,66785.3,80
12391.0,22,1,253598.89,22
12393.0,72,4,178735.91,333
12394.0,64,2,60148.57,217
12395.0,16,15,427347.96,371
12397.0,36,2,278068.09,135
12398.0,46,1,204266.06,46
12399.0,119,4,158016.72,262
12401.0,303,1,17283.4,303
12402.0,323,1,36552.16,323
12403.0,50,2,13749.32,50
12405.0,149,1,122187.79000000001,149
12406.0,22,3,310029.79,184
12407.0,50,5,186352.68,264
12408.0,33,9,253373.33,260
12409.0,79,7,324698.54,183
12410.0,301,3,61744.66,309
12412.0,75,3,159888.55000000002,169
12413.0,67,5,109854.74,337
12414.0,217,3,55774.39,310
12415.0,24,26,1944187.0,338
12417.0,3,12,532728.74,358
12418.0,113,1,108728.73,113
12420.0,64,1,60791.87,64
12421.0,16,5,120314.6,319
12422.0,96,3,89740.0,325
12423.0,1,9,299025.94,354
12424.0,163,2,66385.45,163
12425.0,78,1,101635.55,78
12426.0,195,1,64423.78,195
12427.0,12,5,105999.6,372
12428.0,26,12,780310.63,284
12429.0,9,4,219920.34,366
12430.0,43,1,13697.39,43
12431.0,36,18,541433.7,374
12432.0,43,5,306154.57,172
12433.0,1,7,1041010.62,373
12434.0,85,4,152672.79,361
12435.0,80,2,101148.54,268
12436.0,100,1,37832.96,100
12437.0,2,19,517110.85,331
12438.0,14,2,272767.92,140
12441.0,367,1,40781.32,367
12442.0,3,1,21563.65,3
12444.0,21,5,456209.69,171
12445.0,22,1,9383.41,22
12446.0,58,1,112599.03,58
12447.0,243,1,66037.09,243
12448.0,44,1,55133.65,44
12449.0,22,4,445251.36,187
12450.0,156,2,20098.9,173
12451.0,11,6,817653.44,325
12452.0,17,3,42101.1,17
12453.0,134,1,119409.38,134
12454.0,53,2,82346.66,56
12455.0,73,6,229091.6,297
12456.0,44,4,382840.43,255
12457.0,58,12,179996.08,239
12458.0,71,2,87334.81,285
12461.0,94,2,93725.56999999999,155
12462.0,2,4,196093.01,303
12463.0,46,7,247879.52,242
12464.0,10,8,60952.03,309
12465.0,8,3,111615.44,169
12468.0,143,3,104308.31,316
12471.0,2,49,1351390.04,373
12472.0,31,13,927503.2,373
12473.0,29,9,467491.63,192
12474.0,17,30,1198462.21,369
12475.0,54,1,82538.12,54
12476.0,1,20,671115.8,361
12477.0,23,9,799397.41,312
12478.0,4,1,100444.79,4
12479.0,4,3,99937.72,11
12480.0,28,4,390183.74,336
12481.0,23,11,567524.67,366
12483.0,17,13,198902.62,339
12484.0,33,8,856352.98,336
12488.0,10,3,116253.34,76
12489.0,336,1,30462.03,336
12490.0,5,10,630004.55,330
12491.0,39,1,58867.68,39
12492.0,63,2,45247.52,105
12493.0,166,3,58920.39,197
12494.0,10,13,214807.05,366
12497.0,82,1,46060.87,82
12498.0,21,3,55777.82,58
12500.0,23,13,159061.43,334
12501.0,315,2,432544.63,337
12502.0,96,5,369357.34,310
12503.0,338,1,984.6,338
12504.0,18,4,43814.619999999995,30
12505.0,301,1,4735.36,301
12506.0,233,1,66333.0,233
12507.0,134,4,56400.759999999995,299
12508.0,26,2,172952.53,29
12509.0,284,1,33776.46,284
12510.0,143,2,77315.62,325
12512.0,66,2,64773.0,66
12513.0,85,2,96874.05,113
12514.0,267,1,108784.52,267
12515.0,353,1,26832.8,353
12516.0,78,2,63849.31,181
12517.0,28,6,751369.44,190
12518.0,1,5,340254.36,110
12519.0,64,1,45401.06,64
12520.0,79,6,455111.95,274
12521.0,143,1,91236.31999999999,143
12522.0,39,2,31564.38,51
12523.0,2,13,257626.78,332
12524.0,9,8,389618.3,334
12526.0,1,3,165732.83,94
12527.0,82,3,57273.36,326
12528.0,9,8,241009.11,313
12530.0,60,5,167080.12,337
12531.0,15,1,37309.4,15
12532.0,30,1,36965.63,30
12534.0,131,1,145122.73,131
12535.0,92,2,76617.2,187
12536.0,8,5,655384.95,59
12538.0,29,1,49731.35,29
12539.0,22,5,644016.77,334
12540.0,20,19,1123549.76,362
12541.0,30,3,118408.69,281
12544.0,30,2,57648.64,36
12545.0,75,2,130607.94,260
12546.0,47,3,177828.01,78
12547.0,198,2,25398.379999999997,281
12548.0,166,1,16300.9,166
12550.0,79,1,138743.17,79
12551.0,358,1,25556.19,358
12552.0,39,2,43372.18,40
12553.0,8,14,521494.22,330
12556.0,50,2,346168.37,151
12557.0,16,5,66441.35,372
12558.0,2,2,50578.490000000005,8
12559.0,311,3,57244.44,320
12560.0,5,4,271122.07,143
12561.0,303,1,68068.38,303
12562.0,8,7,489463.93,199
12564.0,261,1,51285.32,261
12565.0,282,2,25933.36,289
12566.0,73,2,56563.92,86
12567.0,23,11,1236543.23,370
12569.0,2,35,477301.68,252
12571.0,40,2,71284.35,122
12572.0,9,3,145601.35,52
12573.0,227,1,61040.44,227
12574.0,316,1,33392.729999999996,316
12576.0,36,6,207386.9,305
12577.0,35,4,337343.36,359
12578.0,21,4,298317.01,339
12579.0,73,3,80314.2,78
12580.0,247,1,48780.4,247
12581.0,40,1,39834.61,40
12582.0,239,2,44363.11,289
12583.0,3,18,547510.4,374
12584.0,4,18,327275.04,280
12585.0,234,4,219493.55,351
12586.0,17,2,32467.56,369
12587.0,8,1,6867.8099999999995,8
12588.0,39,1,21605.08,39
12589.0,29,2,90281.64,145
12590.0,190,3,150441.71,211
12591.0,317,1,57861.55,317
12592.0,92,2,35188.38,213
12593.0,109,3,48952.35,219
12594.0,38,11,343717.22000000003,323
12596.0,51,2,64399.53,242
12597.0,19,5,491017.15,268
12598.0,10,9,341431.71,285
12599.0,29,7,132408.76,304
12600.0,29,11,154047.48,371
12601.0,190,6,62897.55,333
12602.0,59,1,28803.26,59
12603.0,22,1,11580.1,22
12604.0,79,2,44911.65,262
12605.0,365,1,12564.19,365
12607.0,58,2,525145.58,60
12609.0,78,3,136117.68,318
12610.0,23,7,281371.79,126
12611.0,52,1,166484.01,52
12612.0,58,2,66564.72,74
12613.0,31,6,410409.81,262
